root@comp3134-Winter2023:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
00:56:01.986095 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 3837731557:3837731593, ack 3247797168, win 1573, length 36
00:56:01.987503 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 36:144, ack 1, win 1573, length 108
00:56:01.987979 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 144:180, ack 1, win 1573, length 36
00:56:01.988047 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 180:288, ack 1, win 1573, length 108
00:56:01.988131 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 288:324, ack 1, win 1573, length 36
00:56:01.988319 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 324:496, ack 1, win 1573, length 172
00:56:01.988413 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 496:532, ack 1, win 1573, length 36
00:56:01.988461 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 532:680, ack 1, win 1573, length 148
00:56:01.988507 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 680:716, ack 1, win 1573, length 36
00:56:01.988551 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 716:864, ack 1, win 1573, length 148
00:56:02.011798 IP 99.228.39.210.62719 > 143.110.214.206.22: Flags [.], ack 864, win 8280, length 0
00:56:02.011881 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 864:2188, ack 1, win 1573, length 1324
00:56:02.012072 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 2188:2328, ack 1, win 1573, length 140
00:56:02.012159 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 2328:2520, ack 1, win 1573, length 192
